categorie,kw,volume,tld,hl,serpFeature,url,pixelPos,status,tendance,pos,13 sept. 22,30 mars 22,20 mai 2021,?,8 déc 2020,23 nov 20,29 sept 2020,22 sept 2020,12 Sept,1 Sept,Aou 23,Aou 7,Jul 28,Jul 9,Jul 5 2020,Juine 27 2020,Juine 18 2020,May 31 2020,May 9 2020,Apr 22 2020
évènement – evg,evjf grenoble,90,fr,fr,"Ads (17156), PeolpleAlsoAsked (0)",https://piedvert.com/evjf-nature,186,...,-,,45,12,6,19,16,23,18,14,16,14,13,13,14,26,28,19,21,40,43,-1
territoire,séjour vercors,110,fr,fr,"Ads (182), ImagePack (18846)",https://piedvert.com/sejour-vercors,687,...,-,,40,35,-1,26,27,23,39,38,29,27,28,29,25,23,17,19,19,18,21,19
territoire,hotel vercors,720,fr,fr,"Ads (182), Video (20951)",https://piedvert.com/hotel-vercors,1745,...,-,,37,23,-1,29,33,37,39,54,38,42,47,45,45,40,43,44,42,40,40,40
faune,brame du cerf,8100,fr,fr,"PositionZero (218), PeolpleAlsoAsked (855), Video (555)",https://piedvert.com/brame-cerf,336,...,-,,50,14,-1,29,81,94,72,33,31,81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
activité,escape game extérieur,390,fr,fr,"Local Pack (516), PeolpleAlsoAsked (0), Video (4903)",https://piedvert.com/escape-game,184,...,-,,42,18,21,15,15,15,2,16,4,4,6,5,9,5,5,5,6,15,27,23
rando – trek,grande traversée du vercors,170,fr,fr,"KnowledgePanel (1522), PeolpleAlsoAsked (0)",https://piedvert.com/trek-vercors,184,...,-,,67,33,-1,37,26,23,22,21,22,23,23,34,55,58,56,-1,54,51,53,-1
métier,guide de randonnée,170,fr,fr,"ImagePack (13840), PeolpleAlsoAsked (969)",https://piedvert.com/accompagnateur-montagne,184,...,-,,79,57,-1,65,64,59,-1,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
activité,box nature,140,fr,fr,"Ads (522), Video (20157)",https://piedvert.com/box-nature,181,...,+,,87,-1,-1,56,-1,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,77,-1,74,59
entreprise,incentive grenoble,0,fr,fr,"Local Pack (510), Video (8470)",,184,....,x,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
entreprise,lieu séminaire grenoble,0,fr,fr,"Ads (19058), Local Pack (368)",,1094,....,x,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
scolaire,éducation à l’environnement,140,fr,fr,"KnowledgePanel (1059), PeolpleAlsoAsked (792), Video (16096)",,223,....,x,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
activité,escape game foret,260,fr,fr,"PeolpleAlsoAsked (0), Video (1043)",,184,....,x,,-1,34,-1,59,64,60,41,61,58,38,23,26,22,19,13,13,4,11,21,22
entreprise,seminaire grenoble,90,fr,fr,"Ads (182), Local Pack (1539)",,1206,....,x,,-1,41,-1,75,85,85,91,84,85,91,-1,-1,92,-1,-1,-1,-1,-1,-1,-1
